,term,score
84,clink,4.772588722239782
85,joey,4.772588722239782
86,arena,4.772588722239782
87,aisles,4.772588722239782
88,da,4.772588722239782
89,entertainment,4.772588722239782
90,anyhow,4.772588722239782
91,rolled,4.772588722239782
92,band,4.772588722239782
93,needle,4.772588722239782
94,nah,4.772588722239782
95,autograph,4.772588722239782
96,looky,4.772588722239782
97,adorable,4.772588722239782
98,nobody,4.410010887737207
99,hear,4.410010887737207
100,blow,4.410010887737207
101,act,4.410010887737207
102,gone,4.410010887737207
103,ask,4.410010887737207
104,hay,3.9616585060234524
105,winked,3.9616585060234524
106,whoo,3.9616585060234524
107,standing,3.9616585060234524
108,swing,3.9616585060234524
109,landing,3.9616585060234524
110,whwhat,3.9616585060234524
111,ring,3.9616585060234524
112,finish,3.9616585060234524
113,whew,3.9616585060234524
114,goin,3.9616585060234524
115,cry,3.9616585060234524
116,platform,3.9616585060234524
117,boo,3.9616585060234524
118,colossal,3.9616585060234524
119,mouse,3.9616585060234524
120,clumsy,3.9616585060234524
121,forgot,3.9616585060234524
122,wave,3.9616585060234524
123,loop,3.9616585060234524
124,track,3.9616585060234524
125,whistle,3.9616585060234524
126,fixed,3.9616585060234524
127,throw,3.386294361119891
128,minute,3.386294361119891
129,race,3.386294361119891
130,feel,3.386294361119891
131,full,3.386294361119891
132,laughing,3.386294361119891
133,pull,3.386294361119891
134,sight,3.386294361119891
135,heaven,3.386294361119891
136,folks,3.386294361119891
137,birds,3.386294361119891
138,hard,3.386294361119891
139,pick,3.386294361119891
140,lots,3.386294361119891
141,present,3.386294361119891
142,spring,3.386294361119891
143,goodness,3.386294361119891
144,bed,3.386294361119891
145,greatest,3.386294361119891
146,cause,2.9400072584914714
147,awful,2.9400072584914714
148,money,2.9400072584914714
149,round,2.9400072584914714
150,cold,2.9400072584914714
151,straight,2.9400072584914714
152,wonder,2.9400072584914714
153,ought,2.9400072584914714
154,anyway,2.9400072584914714
155,success,2.9400072584914714
156,die,2.9400072584914714
157,town,2.9400072584914714
158,precious,2.9400072584914714
159,need,2.9400072584914714
160,shame,2.9400072584914714
161,surprise,2.9400072584914714
162,faster,2.9400072584914714
163,front,2.9400072584914714
164,really,2.9400072584914714
165,fault,2.9400072584914714
166,dough,2.386294361119891
167,bounce,2.386294361119891
168,diggity,2.386294361119891
169,tying,2.386294361119891
170,sh,2.386294361119891
171,type,2.386294361119891
172,shirt,2.386294361119891
173,uhuhuhuh,2.386294361119891
174,braid,2.386294361119891
175,doused,2.386294361119891
176,torn,2.386294361119891
177,sideshow,2.386294361119891
178,tooooooooooooooo,2.386294361119891
179,jill,2.386294361119891
180,doze,2.386294361119891
181,breath,2.386294361119891
182,oopsadaisy,2.386294361119891
183,joe,2.386294361119891
184,toes,2.386294361119891
185,bat,2.386294361119891
186,baseball,2.386294361119891
187,dragonfly,2.386294361119891
188,beak,2.386294361119891
189,needles,2.386294361119891
190,frankly,2.386294361119891
191,truck,2.386294361119891
192,treetop,2.386294361119891
193,blinding,2.386294361119891
194,rail,2.386294361119891
195,rain,2.386294361119891
196,blame,2.386294361119891
197,dive,2.386294361119891
198,pulling,2.386294361119891
199,ninth,2.386294361119891
200,blizzard,2.386294361119891
201,shine,2.386294361119891
202,sho,2.386294361119891
203,shock,2.386294361119891
204,dizzy,2.386294361119891
205,dododow,2.386294361119891
206,trumpeting,2.386294361119891
207,jack,2.386294361119891
208,inspiration,2.386294361119891
209,trumpets,2.386294361119891
210,insignificant,2.386294361119891
211,bo,2.386294361119891
212,news,2.386294361119891
213,quintuplets,2.386294361119891
214,shoulder,2.386294361119891
215,tuck,2.386294361119891
216,irregular,2.386294361119891
217,dirt,2.386294361119891
218,shape,2.386294361119891
219,belong,2.386294361119891
220,shirking,2.386294361119891
221,sidelines,2.386294361119891
222,pulsating,2.386294361119891
223,gale,2.386294361119891
224,tiny,2.386294361119891
225,sins,2.386294361119891
226,glorious,2.386294361119891
227,pins,2.386294361119891
228,hail,2.386294361119891
229,hairy,2.386294361119891
230,pinnacle,2.386294361119891
231,dada,2.386294361119891
232,glamour,2.386294361119891
