Title,House,Year,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase
Treasure Island 1950.srt,Disney Live Action,1950,1237,3.84,5.85,4.89
Westward Ho the Wagons 1956.srt,Disney Live Action,1950,792,3.93,5.57,4.33
Almost Angels (1960).srt,Disney Live Action,1960,874,3.69,4.91,4.76
Babes In Toyland (1961).srt,Disney Live Action,1960,1758,3.8,4.76,4.55
Big Red (1962)_Eng.srt,Disney Live Action,1960,1060,3.9,4.56,5.14
Blackbeards.Ghost.1968.srt,Disney Live Action,1960,1727,3.96,5.61,5.0
Bon.Voyage.1962..srt,Disney Live Action,1960,4650,3.91,3.22,4.83
Emil and the Detectives (1964).srt,Disney Live Action,1960,1318,3.88,5.2,5.05
Follow.Me.Boys.1966.srt,Disney Live Action,1960,2747,3.84,4.66,5.14
Greyfriars Bobby The True Story of a Dog.1961.srt,Disney Live Action,1960,1559,3.73,5.66,4.62
In Search of the Castaways.srt,Disney Live Action,1960,1542,3.89,5.36,4.92
Kidnapped.1960.1080p.WEBRip.x264-RARBG.srt,Disney Live Action,1960,1564,3.77,6.03,4.76
Kidnapped.1960.srt,Disney Live Action,1960,1564,3.77,6.03,4.76
"Lt. Robin Crusoe, U.S.N., 1966.srt",Disney Live Action,1960,2272,3.99,2.88,5.4
Monkeys.Go.Home.1967.srt,Disney Live Action,1960,1635,4.03,5.01,4.98
Moon Pilot 1962.srt,Disney Live Action,1960,1876,3.83,4.34,5.23
multiply-that-darn-cat-1965.srt,Disney Live Action,1960,1155,3.89,5.26,4.97
"pollyanna, 1960.txt",Disney Live Action,1960,2297,4.17,5.39,5.01
Rascal.1969.srt,Disney Live Action,1960,1517,3.94,5.09,4.93
Savage.Sam.(1963).srt,Disney Live Action,1960,1338,3.69,5.07,4.9
Smith.(1969).srt,Disney Live Action,1960,1459,3.82,5.07,4.97
Son.of.Flubber.1963.srt,Disney Live Action,1960,2024,4.07,5.94,5.14
Summer.Magic.1963.srt,Disney Live Action,1960,1921,3.9,5.17,4.7
Swiss.Family.Robinson.1960.srt,Disney Live Action,1960,1780,3.76,5.03,4.92
The Computer Wore Tennis Shoes (1969).srt,Disney Live Action,1960,1790,4.06,5.39,5.38
The Gnome-Mobile (1967).srt,Disney Live Action,1960,2430,3.84,3.14,4.84
The Horse In Grey Flannel Suit 1968.srt,Disney Live Action,1960,2206,3.96,4.74,5.18
The Love Bug (1968).en.srt,Disney Live Action,1960,1547,3.91,5.77,4.96
The Sign of Zorro (1960).srt,Disney Live Action,1960,1385,4.2,6.31,5.2
The.Absent.Minded.Professor.1961.srt,Disney Live Action,1960,1704,3.98,5.37,5.05
The.Adventures.of.Bullwhip.Griffin.1967.srt,Disney Live Action,1960,1926,3.89,5.26,4.88
The.Happiest.Millonaire.1967.srt,Disney Live Action,1960,3118,3.86,4.84,5.02
The.Incredible.Journey.1963.srt,Disney Live Action,1960,838,4.05,6.87,4.64
The.Legend.Of.Lobo.1962.srt,Disney Live Action,1960,574,4.0,8.17,4.77
The.Monkeys.Uncle.1965.srt,Disney Live Action,1960,3142,4.11,3.28,5.13
The.Moon-Spinners.1964.720p.WEBRip.x264-.YTS.AM.en.srt,Disney Live Action,1960,2031,3.85,4.32,5.28
The.Parent.Trap.1961..srt,Disney Live Action,1960,2680,3.83,5.03,4.93
Thomasina.1963.srt,Disney Live Action,1960,1845,3.75,5.24,4.84
"Toby Tyler, or Ten Weeks with a Circus (1960).srt",Disney Live Action,1960,1441,3.83,4.58,5.12
.DS_Store,Disney Live Action,1970,3,306.45,3.0,1027.75
