Title,House,Decade,Year,Category,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase,Num_Adjectives,Num_Adverbs
Old Yeller,Disney,1950,1957,Live Action,0.23442982456140343,0.08977035490605423,0.485200845665962,0.14370370370370378,0.3956043956043956,0.38778409090909094
The Shaggy Dog,Disney,1950,1959,Live Action,0.3910087719298245,0.12734864300626303,0.37209302325581395,0.20148148148148148,0.5324675324675324,0.53125
The Sword and the Rose,Disney,1950,1953,Live Action,0.21951754385964906,0.17536534446764085,0.5010570824524313,0.20000000000000007,0.3626373626373626,0.2911931818181818
Third Man On the Mountain,Disney,1950,1959,Live Action,0.31118421052631573,0.10647181628392477,0.452431289640592,0.16592592592592592,0.3836163836163836,0.48082386363636365
Treasure Island,Disney,1950,1950,Live Action,0.25153508771929817,0.12317327766179531,0.5105708245243129,0.16740740740740734,0.3176823176823177,0.37357954545454547
Westward Ho the Wagons,Disney,1950,1956,Live Action,0.1539473684210526,0.14196242171189977,0.4809725158562369,0.08444444444444443,0.2907092907092907,0.2393465909090909
Almost Angels,Disney,1960,1960,Live Action,0.1719298245614035,0.09185803757828803,0.4112050739957718,0.14814814814814814,0.1928071928071928,0.30823863636363635
Babes In Toyland,Disney,1960,1961,Live Action,0.3657894736842105,0.1148225469728601,0.39534883720930236,0.11703703703703705,0.6253746253746254,0.40625
Big Red,Disney,1960,1962,Live Action,0.21271929824561397,0.13569937369519824,0.3742071881606765,0.20444444444444443,0.3026973026973027,0.2606534090909091
Blackbeards Ghost,Disney,1960,1968,Live Action,0.35899122807017536,0.14822546972860118,0.485200845665962,0.1837037037037037,0.5464535464535465,0.5099431818181819
Bon Voyage,Disney,1960,1962,Live Action,1.0,0.13778705636743216,0.23255813953488375,0.1585185185185185,0.10589410589410589,0.09517045454545454
Emil and the Detectives,Disney,1960,1964,Live Action,0.26929824561403504,0.13152400835073064,0.4418604651162792,0.19111111111111112,0.3646353646353646,0.41903409090909094
Follow Me Boys,Disney,1960,1966,Live Action,0.5826754385964911,0.12317327766179531,0.3847780126849895,0.20444444444444443,0.7302697302697303,0.7613636363636364
Greyfriars Bobby The True Story of a Dog,Disney,1960,1961,Live Action,0.32214912280701746,0.10020876826722336,0.4904862579281185,0.1274074074074074,0.45854145854145856,0.49715909090909094
In Search of the Castaways,Disney,1960,1962,Live Action,0.3184210526315789,0.13361169102296455,0.4587737843551798,0.1718518518518518,0.5014985014985015,0.48863636363636365
Kidnapped,Disney,1960,1960,Live Action,0.32324561403508767,0.10855949895615868,0.5295983086680762,0.14814814814814814,0.5584415584415584,0.4616477272727273
Monkeys Go Home,Disney,1960,1967,Live Action,0.3388157894736842,0.16283924843423803,0.42177589852008457,0.18074074074074076,0.4145854145854146,0.44389204545454547
Moon Pilot,Disney,1960,1962,Live Action,0.39166666666666655,0.12108559498956162,0.35095137420718814,0.21777777777777785,0.4835164835164835,0.4900568181818182
Multiply That Darn Cat,Disney,1960,1965,Live Action,0.2335526315789473,0.13361169102296455,0.4482029598308669,0.17925925925925923,0.31868131868131866,0.3181818181818182
Pollyanna,Disney,1960,1960,Live Action,0.48399122807017536,0.1920668058455114,0.4619450317124736,0.18518518518518512,0.8211788211788211,0.7428977272727273
Rascal,Disney,1960,1969,Live Action,0.312938596491228,0.14405010438413357,0.430232558139535,0.17333333333333334,0.4245754245754246,0.4147727272727273
Robin Crusoe,Disney,1960,1966,Live Action,0.47850877192982444,0.1544885177453027,0.19661733615221988,0.24296296296296305,0.06893106893106893,0.03125
Savage Sam,Disney,1960,1963,Live Action,0.27368421052631575,0.09185803757828803,0.4281183932346724,0.16888888888888898,0.38161838161838163,0.41264204545454547
Smith,Disney,1960,1969,Live Action,0.300219298245614,0.1189979123173277,0.4281183932346724,0.17925925925925923,0.3706293706293706,0.38210227272727276
Son of Flubber,Disney,1960,1963,Live Action,0.42412280701754373,0.17118997912317335,0.5200845665961946,0.20444444444444443,0.6743256743256744,0.7109375
Summer Magic,Disney,1960,1963,Live Action,0.40153508771929813,0.13569937369519824,0.4386892177589853,0.1392592592592593,0.5904095904095904,0.5113636363636364
Swiss Family Robinson,Disney,1960,1960,Live Action,0.37061403508771923,0.10647181628392477,0.4238900634249473,0.1718518518518518,0.3676323676323676,0.6335227272727273
The Absent Minded Professor,Disney,1960,1961,Live Action,0.35394736842105257,0.1524008350730689,0.4598308668076111,0.19111111111111112,0.5294705294705294,0.53125
