Title,House,Decade,Year,Category,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase,Num_Adjectives,Num_Adverbs,Short_Phrases%
Toy Story 4,Disney,2010,2019,Animation,2313,3.68,3.68,5.08,450,695,1.4267185473411155
Winnie the Pooh,Disney,2010,2011,Animation,1224,3.95,4.86,4.8,376,481,2.8594771241830066
Wreck it Ralph,Disney,2010,2012,Animation,2057,3.79,4.55,4.9,461,696,1.9931939718035974
Zootopia,Disney,2010,2016,Animation,2076,3.97,4.66,5.05,606,697,2.023121387283237
Fantasia,Disney,1940,1940,Animation + Live Action,158,4.51,10.02,5.43,125,122,0.0
Melody Time,Disney,1940,1948,Animation + Live Action,661,4.09,6.32,4.91,261,281,0.30257186081694404
Saludos Amigos,Disney,1940,1943,Animation + Live Action,428,4.5,6.23,5.46,224,137,2.570093457943925
So Dear To My Heart,Disney,1940,1948,Animation + Live Action,1319,3.84,5.38,4.78,432,558,2.047005307050796
Song of the South,Disney,1940,1946,Animation + Live Action,2014,3.65,4.61,4.75,590,753,4.220456802383317
The Reluctant Dragon,Disney,1940,1941,Animation + Live Action,410,3.93,4.32,4.96,131,168,0.4878048780487805
The Three Caballeros,Disney,1940,1944,Animation + Live Action,1086,4.04,4.83,4.41,270,296,4.880294659300184
Mary Poppins,Disney,1960,1964,Animation + Live Action,2101,4.15,4.59,5.39,599,699,0.47596382674916704
Bedknobs and Broomsticks,Disney,1970,1971,Animation + Live Action,1572,4.02,5.48,5.05,511,677,0.44529262086513993
Pete's Dragon,Disney,1970,1977,Animation + Live Action,1919,3.83,5.06,4.73,509,668,1.2506513809275663
Tron,Disney,1980,1982,Animation + Live Action,1140,3.99,4.79,5.17,328,432,0.7894736842105263
Fantasia 2000,Disney,1990,1999,Animation + Live Action,147,4.39,7.15,5.66,67,67,1.3605442176870748
James and the Giant Peach,Disney,1990,1996,Animation + Live Action,1273,3.83,5.3,4.42,358,490,1.021209740769835
G-Force,Disney,2000,2009,Animation + Live Action,1685,3.93,4.81,4.99,440,574,1.3649851632047478
Mary Poppins Returns,Disney,2010,2018,Animation + Live Action,2272,3.9,6.16,4.59,720,1110,0.8802816901408451
Davy Crockett and the River Pirates,Disney,1950,1956,Live Action,1157,3.89,5.6,4.96,388,536,0.432152117545376
Johnny Tremain,Disney,1950,1957,Live Action,1478,3.98,5.7,4.78,456,533,4.330175913396482
Old Yeller,Disney,1950,1957,Live Action,1159,3.68,5.61,4.73,396,546,0.1725625539257981
The Shaggy Dog,Disney,1950,1959,Live Action,1847,3.86,4.58,5.16,527,747,0.7579859231185706
The Sword and the Rose,Disney,1950,1953,Live Action,1086,4.09,5.78,5.13,362,408,1.1970534069981584
Third Man On the Mountain,Disney,1950,1959,Live Action,1496,3.77,5.34,4.89,381,676,0.53475935828877
Treasure Island,Disney,1950,1950,Live Action,1237,3.84,5.85,4.89,318,526,0.6467259498787389
Westward Ho the Wagons,Disney,1950,1956,Live Action,641,3.94,6.79,4.74,276,330,0.15600624024961
Almost Angels,Disney,1960,1960,Live Action,874,3.69,4.91,4.76,193,434,0.4576659038901602
Babes In Toyland,Disney,1960,1961,Live Action,1299,3.91,6.24,4.55,445,565,1.6936104695919936
Big Red,Disney,1960,1962,Live Action,1059,3.9,4.57,5.14,299,366,0.4721435316336166
Blackbeards Ghost,Disney,1960,1968,Live Action,1727,3.96,5.61,5.0,547,718,0.23161551823972204
Bon Voyage,Disney,1960,1962,Live Action,4595,3.91,3.25,4.85,105,134,5.44069640914037
Emil and the Detectives,Disney,1960,1964,Live Action,1318,3.88,5.2,5.05,365,590,0.5311077389984825
Follow Me Boys,Disney,1960,1966,Live Action,2657,3.87,4.79,5.19,678,1069,1.881821603312006
