year,ref_color,counts
1970,#A0522D,89
1970,#A52A2A,25
1970,#A9A9A9,227
1970,#ADD8E6,28
1970,#AFEEEE,1
1970,#B0C4DE,51
1970,#B0E0E6,5
1970,#B22222,3
1970,#B8860B,72
1970,#BC8F8F,95
1970,#BDB76B,87
1970,#C0C0C0,130
1970,#C71585,5
1970,#CD5C5C,8
1970,#CD853F,63
1970,#D2691E,15
1970,#D2B48C,180
1970,#D3D3D3,86
1970,#D8BFD8,26
1970,#DA70D6,1
1970,#DAA520,32
1970,#DB7093,17
1970,#DCDCDC,62
1970,#DDA0DD,8
1970,#DEB887,17
1970,#E6E6FA,3
1970,#E9967A,4
1970,#EEE8AA,2
1970,#F0E68C,8
1970,#F4A460,2
1970,#F5DEB3,9
1970,#F5F5DC,3
1970,#F5F5F5,1
1970,#F5FFFA,1
1970,#FAEBD7,10
1970,#FDF5E6,1
1970,#FFD700,4
1970,#FFE4E1,4
1980,#006400,3
1980,#008000,1
1980,#008080,24
1980,#008B8B,7
1980,#00BFFF,5
1980,#00CED1,1
1980,#191970,6
1980,#1E90FF,3
1980,#20B2AA,3
1980,#228B22,1
1980,#2E8B57,12
1980,#2F4F4F,950
1980,#32CD32,1
1980,#3CB371,1
1980,#4169E1,2
1980,#4682B4,185
1980,#483D8B,143
1980,#48D1CC,1
1980,#4B0082,1
1980,#556B2F,213
1980,#5F9EA0,50
1980,#6495ED,9
1980,#663399,1
1980,#696969,974
1980,#6A5ACD,1
1980,#6B8E23,12
1980,#708090,194
1980,#778899,107
1980,#7B68EE,2
1980,#800000,109
1980,#800080,4
1980,#808000,11
1980,#808080,241
1980,#87CEEB,10
1980,#87CEFA,5
1980,#8B0000,9
1980,#8B4513,229
1980,#8FBC8F,34
1980,#90EE90,1
1980,#98FB98,1
1980,#9932CC,1
1980,#9ACD32,3
1980,#A0522D,225
1980,#A52A2A,95
1980,#A9A9A9,185
1980,#ADD8E6,15
1980,#AFEEEE,3
1980,#B0C4DE,62
1980,#B0E0E6,11
1980,#B22222,7
1980,#B8860B,28
1980,#BA55D3,1
1980,#BC8F8F,252
1980,#BDB76B,52
1980,#C0C0C0,111
1980,#C71585,10
1980,#CD5C5C,34
1980,#CD853F,64
1980,#D2691E,14
1980,#D2B48C,131
1980,#D3D3D3,76
1980,#D8BFD8,24
1980,#DA70D6,2
1980,#DAA520,26
1980,#DB7093,31
1980,#DCDCDC,27
1980,#DDA0DD,9
1980,#DEB887,51
1980,#E0FFFF,2
1980,#E6E6FA,6
1980,#E9967A,29
1980,#EEE8AA,5
1980,#F08080,1
1980,#F0E68C,10
1980,#F0F8FF,2
1980,#F0FFF0,1
