,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl,num_words,num_terms,rttr,cttr,mltd
324,Herbie Rides Again,1974,1970,Disney,Live Action,0.36852535259455715,0.5067992839977244,0.08216391066333839,0.11389323691827546,0.5055022454185799,0.8299545342165707,0.43686724232226914,0.20264808032280987,2,6,8,4,0,3,7,3,0.460935725641608,0.6030664395229983,0.7444949014651709,0.7444949014651709,0.7858787186342232
325,Napoleon and Samantha,1972,1970,Disney,Live Action,0.25301032994553685,0.6771569354992226,0.07540195721157605,0.09575924936211133,0.3989835617068627,0.7409178129028777,0.29291152880200644,0.14841838637433094,1,5,8,4,0,1,6,2,0.42845786963434024,0.45102214650766614,0.5530888695909671,0.5530888695909673,0.5131949603931425
326,The Cat From Outer Space,1978,1970,Disney,Live Action,0.30342397606303256,0.5707067924451463,0.21054725787645245,0.20138711231383566,0.4116197974459255,0.7441056506643206,0.3713017101436624,0.14379084208719195,2,5,12,5,0,1,6,2,0.4869407222348399,0.6396933560477002,0.7719833398895971,0.7719833398895974,0.6207421007555503
327,Shaggy DA,1976,1970,Disney,Live Action,0.31572872845073185,0.5839937484444833,0.14467600637024902,0.17248163707318687,0.44608615078199554,0.7828766739849138,0.3730863422551899,0.17689098670262854,2,5,10,4,0,2,6,2,0.48211446740858505,0.641396933560477,0.7787172693104901,0.7787172693104902,0.7142937947514525
328,No Deposit No Return,1976,1970,Disney,Live Action,0.3074754503498877,0.5825524966642077,0.10848875430905236,0.1368873405656985,0.45680945187214683,0.786012709731626,0.37369202939957225,0.16167737720835934,2,5,10,4,0,2,6,2,0.6018055870997048,0.6528960817717206,0.6999230387617866,0.6999230387617867,0.6160851141333803
329,Hot Lead And Cold Feet,1978,1970,Disney,Live Action,0.28220501433734646,0.6393895344579268,0.10520249670594084,0.11562283261694895,0.4389756562885752,0.7759511051856884,0.31367683322525286,0.1651349854558351,1,5,10,4,0,2,6,2,0.4626391096979332,0.5787904599659285,0.7086350193590666,0.7086350193590669,0.567136699140292
330,One Little Indian,1973,1970,Disney,Live Action,0.2583078344909416,0.6783109695721512,0.09762945894102171,0.11708793444462551,0.4121504304627714,0.7545877185735177,0.2923330968453932,0.15838344780439864,1,5,10,4,0,1,6,2,0.34152850329320916,0.4271720613287905,0.5930036387604133,0.5930036387604134,0.436631021847971
331,Gus,1976,1970,Disney,Live Action,0.34853895370107507,0.5551327328335733,0.12825986104542642,0.19081707853297247,0.47869975804654313,0.8109841424213386,0.38677138668543387,0.2074720281407142,2,5,10,5,0,3,6,3,0.49903474903474904,0.6409710391822828,0.7630324364996554,0.7630324364996557,0.6976317501233391
332,Return from Witch Mountain,1978,1970,Disney,Live Action,0.3175798434280559,0.5551307495594107,0.1080345948628072,0.13024881854931414,0.4619972118937351,0.7864517126741206,0.37373458462095965,0.15378274270096115,2,5,10,4,0,2,6,2,0.29076765841471724,0.4331345826235094,0.6612969176694351,0.6612969176694352,0.6782631514553965
333,Escape to Witch Mountain,1975,1970,Disney,Live Action,0.3225467529424628,0.5884586163452052,0.06389794322546272,0.09528670437458242,0.48612980723876864,0.8152766411207686,0.3747234947667445,0.19265625070328882,2,5,8,4,0,3,6,2,0.33221667045196457,0.465076660988075,0.665424969588404,0.665424969588404,0.8581583831460887
334,The North Avenue Irregulars,1979,1970,Disney,Live Action,0.30384518844470065,0.6090519221982365,0.13758851283739737,0.17847757977536793,0.4307402792749912,0.7722020371898212,0.3610637421141676,0.1784440212272202,2,5,10,4,0,2,6,2,0.5851692028162617,0.6827086882453152,0.7489583764736955,0.7489583764736958,0.4671170232086914
335,The Island At The Top Of The World,1974,1970,Disney,Live Action,0.35011990760449646,0.5239037703412994,0.07448681581467687,0.10892678573566972,0.48705545646144077,0.813863902915935,0.4186259527319386,0.18506697182162568,2,5,8,4,0,3,7,2,0.3640699523052464,0.530664395229983,0.7352075323747831,0.7352075323747835,0.7702642242346286
336,Treasure Of Matecumbe,1976,1970,Disney,Live Action,0.2909013625873935,0.6437861395437294,0.0930422909854074,0.10439127472317378,0.4723962760286212,0.8047188139433957,0.3283064927007491,0.1851430597219379,1,5,10,4,0,3,6,2,0.4883602089484443,0.6465076660988075,0.7800872462445456,0.7800872462445458,0.7430287096305944
337,The Black Hole,1979,1970,Disney,Live Action,0.419275464439357,0.41100073128032677,0.1596057972852245,0.185401490671382,0.5361449602267592,0.8523791925912658,0.47647559359576264,0.20585902806262965,3,6,10,4,2,4,7,3,0.3236997501703384,0.5668654173764907,0.8460505455032266,0.8460505455032268,0.950891085939059
