,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl
359,The Muppet Christmas Carol,1992,1990,Disney,Animation,0.38654980784211224,0.4991224092032138,0.14831726089292174,0.20612799707984608,0.5103575800243924,0.8344930280660694,0.40380772907631435,0.22250394859078354,3,6,10,5,0,3,7,3
360,The Parent Trap,1998,1990,Disney,Animation,0.2978938671386183,0.6211041587217996,0.10693420977538648,0.10672121989442263,0.42532218876622474,0.7684084620626365,0.347800197386257,0.1780932703315394,1,5,10,4,0,1,6,2
361,The Adventures of Huck Finn,1993,1990,Disney,Animation,0.27621884787677736,0.673585687964779,0.13502490849573068,0.16009168180930466,0.4365997415795573,0.7786613061487146,0.31022469299280453,0.18587584282672334,1,5,10,4,0,2,6,2
362,Air Bud 2 Golden Receiver,1998,1990,Disney,Animation,0.28084079523098265,0.6926001177447882,0.27751172043618444,0.3424858762551525,0.37770706210780575,0.736741890728988,0.3305539158962203,0.21281423978786135,1,5,13,5,0,1,6,3
363,Tall Tale,1995,1990,Disney,Animation,0.2982177182985206,0.6186651497257962,0.07219751016915121,0.11143189240431095,0.4502938404385086,0.7864455350354101,0.29120825873153455,0.17144171998773713,1,5,8,4,0,2,6,2
364,Mighty Joe Young,1998,1990,Disney,Animation,0.27181107583378705,0.6380440574407502,0.10461643645671281,0.10804093530063719,0.4120860274198178,0.7487597376691689,0.3265632984271084,0.14746224334336877,1,5,10,4,0,1,6,2
365,Angels In The Outfield,1994,1990,Disney,Animation,0.27072749762838977,0.6569734303621155,0.12724286701319887,0.16923034617777166,0.43960555903339193,0.7753529034843778,0.30675473580950374,0.16115090711643287,1,5,10,4,0,2,6,2
366,Honey I Blew Up the Kids,1992,1990,Disney,Animation,0.3271542493521413,0.5471440438281734,0.1280006960807557,0.14263326207295346,0.4593586217008885,0.7882790392965783,0.3617399078478726,0.1615180017566051,2,5,10,4,0,2,6,2
367,A Kid In King Arthurs Court,1995,1990,Disney,Animation,0.2741459674416851,0.6318876078502611,0.10655427585279897,0.10592026557775436,0.4165233008581849,0.7511904080139323,0.3320479066935841,0.14629517693988014,1,5,10,4,0,1,6,2
368,Hocus Pocus,1993,1990,Disney,Animation,0.2296508712508229,0.6783231142698991,0.14394357797960255,0.14859246959823225,0.3945368117010593,0.7095981877420026,0.25919783024874954,0.10732408425622365,1,5,10,4,0,0,6,1
369,Mr Magoo,1997,1990,Disney,Animation,0.2936678872521095,0.6059326128312414,0.1537267551642636,0.16697260066381292,0.41479362172272277,0.7542279781520773,0.34809634563682,0.15714637334509446,1,5,10,4,0,1,6,2
370,The Jungle Book,1994,1990,Disney,Animation,0.2847845762782314,0.6002634526628894,0.0969842532556916,0.09195648085772279,0.43049563342193997,0.7551186273102096,0.31573092185582463,0.13401955952164776,1,5,10,4,0,1,6,2
371,Flubber,1997,1990,Disney,Animation,0.3198415281986149,0.53135884846915,0.18390149590856053,0.18460877249683538,0.43188676407208104,0.7537216878052493,0.3558493449733199,0.13419406778788953,2,5,12,4,0,1,6,2
372,The Mighty Ducks,1992,1990,Disney,Animation,0.2663341909763453,0.6448993315168408,0.11708682516506597,0.11964627353773816,0.43300900455596425,0.7626317065270566,0.31321448349250003,0.14327052729836492,1,5,10,4,0,1,6,2
373,Jungle 2 Jungle,1997,1990,Disney,Animation,0.27746604138105185,0.6525312938085626,0.20615545500770605,0.22187909735706468,0.36452114053484425,0.722176251128143,0.31520603587422746,0.16922837137429111,1,5,12,5,0,0,6,2
374,I'll be Home for Christmas,1998,1990,Disney,Animation,0.29542366379235674,0.6524084010065319,0.20098540170700352,0.1828563277976034,0.40946381171606616,0.7598852036858962,0.3477415937718774,0.20243826104019177,1,5,12,4,0,1,6,3
375,Wild Hearts Cant Be Broken,1991,1990,Disney,Animation,0.26442647800806135,0.6590381292038927,0.04843187027308615,0.06219910744241375,0.42445714227864845,0.7609116625875912,0.31811060287207593,0.153355332031081,1,5,8,4,0,1,6,2
376,White Fang 2,1994,1990,Disney,Animation,0.28186057863234626,0.599231604292402,0.12151595397829507,0.08645789803197768,0.42362485072356276,0.7458622957218068,0.34267819705270597,0.1305600839118904,1,5,10,4,0,1,6,2
377,The Santa Clause,1994,1990,Disney,Animation,0.274922636998929,0.6475486207976218,0.12412499188391424,0.13194208424174736,0.4337191785656486,0.7705112474476896,0.2781820451960876,0.157314198493019,1,5,10,4,0,2,6,2
378,The Rocketeer,1991,1990,Disney,Animation,0.2955304991968717,0.6084011340985889,0.12642720479605607,0.167416004204205,0.4431826913136,0.7772029002880235,0.3286201585168187,0.16075364419987773,1,5,10,4,0,2,6,2
379,The Straight Storys,1999,1990,Disney,Animation,0.29079852672679457,0.6729240737532933,0.1579975082251136,0.1941070495947821,0.44289644748879686,0.7848030153421848,0.29593665444069417,0.2087295013940678,1,5,10,5,0,2,6,3
380,Homeward Bound The Incredible Journey,1993,1990,Disney,Animation,0.22322272680187472,0.7079698087837683,0.07675140864296326,0.07394512348134197,0.39584785499019765,0.725318325461103,0.22077498403596219,0.12075870294479762,1,5,8,4,0,0,5,1
